app_id,name,created_at,download_count,installation_count,is_preinstalled_in_cloud,is_preinstalled_in_server_DC,partner,review_count,review_rating,summary,marketing_labels,product_hosting_options,url,is_free,min_annual_pricing_plan,min_monthly_pricing_plan,Source code,Utilities,Project management,Dependency management,Admin tools,Build management,Dashboard gadgets,Shared workflows,Blueprints,Testing & QA,Language packs,CRM,Repository hooks,Monitoring,Themes & styles,Macros,Workflow,Integrations,Mobile,Time tracking,IT & helpdesk,Reports,Documentation,Document management,Tasks,Code quality,Security,Email,Custom fields,Charts & diagramming,Code review,Continuous integration,Design tools,Messaging,Deployments,Repository connectors
1224678,monday.com for Jira,2021-03-12T11:09:10.429Z,0.0,125.0,False,False,resolution Reichert Network Solutions GmbH,3,4.0,By integrating monday.com you & your entire organization can both view and edit boards directly in Jira Cloud.,['jira-servicedesk'],['CLOUD'],https://marketplace.atlassian.com/apps/1224678/monday-com-for-jira?hosting=cloud&tab=pricing,False,30.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1223487,Gadgets for Release Management & Roadmap,2020-09-01T18:17:16.589Z,216.0,115.0,False,False,Release Management,4,4.0,"Comprehensive library of Gadgets for Program, Release Management and Roadmaping including Progress & Status Gadgets, Calendar & Roadmap Gadgets, Insightful Burnup & Trends Gadgets.","['jira-servicedesk', 'jira-software']","['CLOUD', 'SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1223487/gadgets-for-release-management-roadmap?hosting=cloud&tab=pricing,False,50.0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1215543,BPMN Modeler Free,2016-07-04T15:23:43.794Z,17612.0,1442.0,False,False,viadee Unternehmensberatung AG,12,3.75,"Combine process models with all other enterprise aspects you store in Confluence. Import, create, edit and export BPMN 2.0 compliant diagrams. Work on processes with your team. All changes to your BPMN models are saved in different versions.",['codegeist2016'],['SERVER'],https://marketplace.atlassian.com/apps/1215543/bpmn-modeler-free?hosting=server&tab=pricing,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1221470,HTML Macro & Themes for Confluence Cloud,2019-11-04T17:33:23.227Z,0.0,116.0,False,False,PGA,4,4.0,"Easily tune your Confluence spaces in custom color schemes according to your needs. Enhance your spaces overview with newly provided Overview Page with extended search and branding support.
Render HTML code snippets in pages and overview screen.",[],['CLOUD'],https://marketplace.atlassian.com/apps/1221470/html-macro-themes-for-confluence-cloud?hosting=cloud&tab=pricing,False,9.5,0.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1222978,Dynamic Custom Fields for Jira,2020-06-25T08:58:42.971Z,1.0,115.0,False,False,codefortynine GmbH,4,4.0,"Choose from over 50 templates for new custom fields, computed from existing issue data. You can also create new dynamic fields using the Jira expression language.","['jira-servicedesk', 'jira-software']",['CLOUD'],https://marketplace.atlassian.com/apps/1222978/dynamic-custom-fields-for-jira?hosting=cloud&tab=pricing,False,50.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1220515,Azure Pipelines for Jira,2019-04-30T11:31:19.146Z,2.0,2872.0,False,False,Azure DevOps,91,1.692307710647583,Instantly track development for Jira issues by adding information from Azure Pipelines,"['Build-Deploy', 'Jira-Deployment-Providers', 'Jira-Deployments']",['CLOUD'],https://marketplace.atlassian.com/apps/1220515/azure-pipelines-for-jira?hosting=cloud&tab=pricing,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1220461,Confluence Custom Fields,2019-04-16T17:06:23.275Z,1029.0,140.0,False,False,MESILAT LIMITED,2,4.0,This addon provides a custom field type 'Confluence Page Field' that you can use to reference Confluence pages from your issue's custom fields,"['jira-servicedesk', 'jira-software']","['SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1220461/confluence-custom-fields?hosting=datacenter&tab=pricing,False,300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1222040,Airtable for Confluence,2020-02-11T14:09:17.719Z,77.0,170.0,False,False,CollabSoft,3,3.0,"Unleash the power of Airtable in Confluence! The Airtable for Confluence app allows you to render Airtable bases, views or forms within Confluence pages.",[],"['CLOUD', 'SERVER']",https://marketplace.atlassian.com/apps/1222040/airtable-for-confluence?hosting=cloud&tab=pricing,False,20.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1221196,Customer Tools for Service Management,2019-09-13T14:23:58.829Z,1.0,127.0,False,False,codedoers,3,4.0,The app allows to define custom forms to collect more data about customer and organizations. It supports many field types. Additionally the app provide quick preview of other requests reported by the same customer or organization.,['jira-servicedesk'],['CLOUD'],https://marketplace.atlassian.com/apps/1221196/customer-tools-for-service-management?hosting=cloud&tab=pricing,False,30.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216780,Moqups for Confluence Server,2017-03-09T13:11:51.043Z,1718.0,156.0,False,False,Moqups,5,3.0,"Moqups' unique design solution lets your team create, design, prototype and diagram within a single, behind-the-firewall app. Visualize requirements, clarify specifications and quickly embed them within any kind of Confluence documentation.",['codegeist2017'],['SERVER'],https://marketplace.atlassian.com/apps/1216780/moqups-for-confluence-server?hosting=server&tab=pricing,False,99.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
